geracao_primeira_avaliacao,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,criterion,class_weight,threshold,fitness,accuracy,precision,recall,f1,roc_auc
5,400,20.0,6,15,0.3,log_loss,balanced_subsample,0.45,0.6508640382499721,0.669275,0.4746562089696635,0.7475580224743559,0.5806397075139744,0.7638343917719703
5,500,20.0,6,8,log2,log_loss,balanced_subsample,0.65,0.5337235397660256,0.7419,0.6128704752235542,0.4270399695262972,0.5033513998909592,0.7622005340476166
5,800,12.0,30,15,log2,log_loss,balanced_subsample,0.45,0.6462302533355414,0.66035,0.4669418076764342,0.7695970396974396,0.5812304783823771,0.7666353064164484
5,400,16.0,2,15,0.3,entropy,balanced,0.45,0.6454124821132707,0.6606083333333334,0.46711027245340486,0.7678284765869453,0.5808556402893986,0.7656497226220642
5,400,20.0,30,15,log2,log_loss,balanced,0.5,0.6762744573941957,0.697025,0.5039376342375308,0.689467526460425,0.5822810988430208,0.7653189633363928
5,200,20.0,30,15,log2,log_loss,balanced,0.45,0.6483056691312812,0.6636666666666666,0.46976377688735393,0.7623867439392703,0.5813278008298756,0.765222961339756
6,500,16.0,30,15,0.3,gini,balanced,0.45,0.6456553635698301,0.6607083333333333,0.4672063302873792,0.7679101025766604,0.5809532631405605,0.7655887115736255
6,100,20.0,4,15,log2,log_loss,balanced,0.5,0.676535224828285,0.69685,0.5037240064350831,0.6900661170516692,0.5823517255631329,0.7651998179443755
6,200,,4,15,log2,log_loss,balanced,0.4,0.6145325346188042,0.6294916666666667,0.4428817025817352,0.8130764835523631,0.5734214742820958,0.7634330782885665
6,100,20.0,30,20,sqrt,entropy,balanced_subsample,0.6,0.5954165021474349,0.7374416666666667,0.5779263220439691,0.5292901259761108,0.5525400139178844,0.7658957651312785
6,400,20.0,4,15,log2,log_loss,balanced,0.5,0.6762744573941957,0.697025,0.5039376342375308,0.689467526460425,0.5822810988430208,0.7653189633363928
6,400,30.0,8,15,log2,log_loss,balanced,0.45,0.647364797571013,0.6650166666666667,0.4708451109493746,0.7568905939651185,0.5805455266398146,0.7636406015840639
6,200,20.0,30,15,log2,gini,balanced,0.5,0.6772182237393678,0.696425,0.5032075396982537,0.6915081762033032,0.5825187086718848,0.7651357273852633
6,800,8.0,30,15,log2,log_loss,balanced,0.5,0.666563068699536,0.6886166666666667,0.4940990739492886,0.6982831333496585,0.5787088190858457,0.7620994602714347
6,200,20.0,4,15,log2,log_loss,balanced_subsample,0.5,0.6725335884422939,0.699825,0.5074128083606757,0.6816586401110113,0.5817687833083702,0.7650262615993113
6,650,20.0,8,15,log2,log_loss,balanced_subsample,0.5,0.672402980559221,0.7001333333333334,0.507798397728425,0.6812233014991973,0.5818633944549025,0.765173906192446
6,400,20.0,30,15,log2,log_loss,balanced,0.45,0.6481328949727263,0.6639333333333334,0.46997060058798823,0.7611623540935434,0.5811296454018571,0.7653189633363928
6,200,20.0,4,15,0.5,log_loss,balanced_subsample,0.5,0.6634654272229761,0.6997416666666667,0.50746700864601,0.6675373438902946,0.576599019964982,0.7603756659313954
6,800,20.0,6,15,log2,log_loss,balanced,0.5,0.6766665907028061,0.696975,0.503873505224266,0.6901749517046227,0.582490384063379,0.7653629888668488
6,650,20.0,30,5,log2,gini,balanced,0.45,0.6442143186552513,0.665125,0.4707745759247905,0.7521018692351644,0.5790780253275932,0.7619836722062734
6,800,20.0,24,1,log2,gini,balanced,0.45,0.6379454921508998,0.6658583333333333,0.4710936689602711,0.7414088645824831,0.5761192452032349,0.7571535664290789
6,400,20.0,30,15,0.5,log_loss,balanced_subsample,0.7,0.484880383222836,0.74275,0.6475101549571235,0.3513182597338993,0.45549793628955443,0.76055114182286
6,100,24.0,30,20,sqrt,entropy,balanced,0.45,0.647390957223722,0.663225,0.4693446797105334,0.7623323266127935,0.5809909900569212,0.7654190152392868
7,800,20.0,6,15,sqrt,log_loss,balanced,0.5,0.6766665907028061,0.696975,0.503873505224266,0.6901749517046227,0.582490384063379,0.7653629888668488
7,200,8.0,30,15,log2,gini,balanced,0.5,0.66780209917375,0.6902,0.49588465355204014,0.6934127826299894,0.5782451841263359,0.7620939385930949
7,200,20.0,4,15,log2,log_loss,balanced,0.45,0.6483056691312812,0.6636666666666666,0.46976377688735393,0.7623867439392703,0.5813278008298756,0.765222961339756
7,800,20.0,4,15,0.5,log_loss,balanced,0.5,0.6705912455548663,0.6952333333333334,0.5018117030008208,0.6820395613963486,0.5782068138306461,0.760845595109262
7,100,8.0,30,15,log2,log_loss,balanced,0.7,0.4429473892657584,0.742125,0.6877667140825036,0.2894185508665959,0.40739960550757387,0.7619566388940725
7,300,20.0,4,15,0.5,log_loss,balanced_subsample,0.5,0.6635724091853878,0.6998,0.5075392475231142,0.6676461785432481,0.5766862514688602,0.7605030136010721
7,200,20.0,8,15,log2,log_loss,balanced,0.5,0.6764222059583723,0.6967333333333333,0.5035848344620762,0.689902865072239,0.5822005878030859,0.765222961339756
7,200,20.0,16,1,log2,log_loss,balanced_subsample,0.7,0.4624200666250512,0.739925,0.6530815109343936,0.3217696514570239,0.43112593645759284,0.7531437701284505
7,650,20.0,4,15,sqrt,log_loss,balanced_subsample,0.5,0.672402980559221,0.7001333333333334,0.507798397728425,0.6812233014991973,0.5818633944549025,0.765173906192446
